Fwd_rate	Rev_rate	Net_Rate	PEI	Reaction_String
0.034187491	0.000772208	3.34E-02	9.78E-01	R27 + R2 <=> R183
0.034187491	6.29169E-11	3.42E-02	1.00E+00	R2 + R28 <=> R184
0.034187491	1.29441E-06	3.42E-02	1.00E+00	R2 + R28 <=> R135
0.034187491	0.002153202	3.20E-02	9.41E-01	R28 + R2 <=> R185
0.034187491	0.093823841	-5.96E-02	2.67E-01	R29 + R2 <=> R186
0.034187491	4.07160932	-4.04E+00	8.33E-03	R2 + R30 <=> R72
0.034187491	1.40605E-07	3.42E-02	1.00E+00	R30 + R2 <=> R187
0.034187491	4.36349E-06	3.42E-02	1.00E+00	R31 + R2 <=> R188
0.034187491	3.36851E-08	3.42E-02	1.00E+00	R2 + R41 <=> R189
0.034187491	2.22754E-10	3.42E-02	1.00E+00	R2 + R41 <=> R190
0.034187491	2.52558E-06	3.42E-02	1.00E+00	R41 + R2 <=> R191
0.034187491	5.432711858	-5.40E+00	6.25E-03	R42 + R2 <=> R192
0.034187491	9.05805E-13	3.42E-02	1.00E+00	R2 + R43 <=> R193
0.034187491	2.28412E-05	3.42E-02	9.99E-01	R2 + R43 <=> R194
0.034187491	1.06993E-08	3.42E-02	1.00E+00	R43 + R2 <=> R195
0.034187491	0.199749839	-1.66E-01	1.46E-01	R44 + R2 <=> R196
0.034187491	5.22621E-06	3.42E-02	1.00E+00	R45 + R2 <=> R197
0.034187491	5.44478E-06	3.42E-02	1.00E+00	R2 + R53 <=> R198
0.034187491	1.14773E-05	3.42E-02	1.00E+00	R2 + R53 <=> R199
0.034187491	0.625478559	-5.91E-01	5.18E-02	R53 + R2 <=> R200
0.034187491	0.000132075	3.41E-02	9.96E-01	R54 + R2 <=> R201
0.034187491	4.29305E-16	3.42E-02	1.00E+00	R2 + R60 <=> R202
0.034187491	1.89273E-12	3.42E-02	1.00E+00	R2 + R60 <=> R203
0.034187491	4.74336E-09	3.42E-02	1.00E+00	R60 + R2 <=> R204
0.034187491	5.33849E-09	3.42E-02	1.00E+00	R2 + R86 <=> R205
0.034187491	7.65989E-11	3.42E-02	1.00E+00	R2 + R86 <=> R206
0.034187491	0.078959748	-4.48E-02	3.02E-01	R86 + R2 <=> R207
0.034187491	2.92716E-13	3.42E-02	1.00E+00	R2 + R87 <=> R208
0.034187491	2.21335E-08	3.42E-02	1.00E+00	R2 + R87 <=> R209
0.034187491	1.790620172	-1.76E+00	1.87E-02	R87 + R2 <=> R210
0.034187491	0.44017794	-4.06E-01	7.21E-02	R88 + R2 <=> R211
0.034187491	1.96324E-08	3.42E-02	1.00E+00	R2 + R89 <=> R212
0.034187491	3.9468E-07	3.42E-02	1.00E+00	R2 + R89 <=> R213
0.034187491	65.25796054	-6.52E+01	5.24E-04	R89 + R2 <=> R214
0.034187491	1.07084E-09	3.42E-02	1.00E+00	R3 + R15 <=> R98
0.034187491	1.36504E-05	3.42E-02	1.00E+00	R15 + R3 <=> R215
0.034187491	0.000574593	3.36E-02	9.83E-01	R16 + R3 <=> R216
0.034187491	3.69545E-09	3.42E-02	1.00E+00	R3 + R17 <=> R59
0.034187491	2.29E-12	3.42E-02	1.00E+00	R17 + R3 <=> R217
0.034187491	4.04855E-12	3.42E-02	1.00E+00	R3 + R26 <=> R140
0.034187491	1.08864E-05	3.42E-02	1.00E+00	R3 + R26 <=> R141
