Fwd_rate	Rev_rate	Net_Rate	PEI	Reaction_String
4.27647E-07	1.3969E-08	4.14E-07	9.68E-01	R0 + R41 <=> R43
4.27647E-07	3.28735E-08	3.95E-07	9.29E-01	R0 + R41 <=> R44
4.27647E-07	1.39265E-06	-9.65E-07	2.35E-01	R0 + R43 <=> R95
4.27647E-07	2.67537E-09	4.25E-07	9.94E-01	R0 + R43 <=> R96
4.27647E-07	3.18608E-08	3.96E-07	9.31E-01	R0 + R53 <=> R55
4.27647E-07	6.37085E-08	3.64E-07	8.70E-01	R0 + R53 <=> R56
4.27647E-07	5.44323E-08	3.73E-07	8.87E-01	R0 + R55 <=> R97
4.27647E-07	2.90022E-07	1.38E-07	5.96E-01	R0 + R55 <=> R98
4.27647E-07	0.000619387	-6.19E-04	6.90E-04	R0 + R60 <=> R61
4.27647E-07	6.919E-06	-6.49E-06	5.82E-02	R0 + R60 <=> R62
4.27647E-07	3.68861E-09	4.24E-07	9.91E-01	R0 + R61 <=> R99
4.27647E-07	3.96985E-08	3.88E-07	9.15E-01	R0 + R61 <=> R100
4.27647E-07	2.38365E-06	-1.96E-06	1.52E-01	R0 + R64 <=> R65
4.27647E-07	5.18669E-05	-5.14E-05	8.18E-03	R0 + R64 <=> R66
4.27647E-07	3.88011E-09	4.24E-07	9.91E-01	R0 + R65 <=> R101
4.27647E-07	1.40593E-08	4.14E-07	9.68E-01	R0 + R65 <=> R102
4.27647E-07	5.71084E-09	4.22E-07	9.87E-01	R0 + R68 <=> R70
4.27647E-07	1.20403E-05	-1.16E-05	3.43E-02	R0 + R68 <=> R71
4.27647E-07	2.19216E-06	-1.76E-06	1.63E-01	R0 + R70 <=> R103
4.27647E-07	1.68049E-07	2.60E-07	7.18E-01	R0 + R70 <=> R104
4.27647E-07	2.44137E-06	-2.01E-06	1.49E-01	R0 + R73 <=> R74
4.27647E-07	2.29815E-08	4.05E-07	9.49E-01	R0 + R73 <=> R75
4.27647E-07	5.7718E-06	-5.34E-06	6.90E-02	R0 + R76 <=> R78
4.27647E-07	0.000387381	-3.87E-04	1.10E-03	R0 + R76 <=> R79
4.27647E-07	2.81725E-10	4.27E-07	9.99E-01	R0 + R81 <=> R82
4.27647E-07	3.46806E-09	4.24E-07	9.92E-01	R0 + R81 <=> R83
4.27647E-07	2.44656E-08	4.03E-07	9.46E-01	R0 + R86 <=> R87
4.27647E-07	3.47445E-09	4.24E-07	9.92E-01	R0 + R86 <=> R88
4.27647E-07	9.44872E-10	4.27E-07	9.98E-01	R0 + R87 <=> R105
4.27647E-07	1.94169E-07	2.33E-07	6.88E-01	R0 + R87 <=> R106
4.27647E-07	2.04597E-06	-1.62E-06	1.73E-01	R0 + R89 <=> R90
4.27647E-07	2.86532E-06	-2.44E-06	1.30E-01	R0 + R89 <=> R91
4.27647E-07	2.38719E-10	4.27E-07	9.99E-01	R0 + R90 <=> R107
4.27647E-07	4.73337E-09	4.23E-07	9.89E-01	R0 + R90 <=> R108
4.27647E-07	0.001494283	-1.49E-03	2.86E-04	R1 + R15 <=> R94
4.27647E-07	0.531906635	-5.32E-01	8.04E-07	R15 + R1 <=> R109
4.27647E-07	0.200724318	-2.01E-01	2.13E-06	R16 + R1 <=> R110
4.27647E-07	0.000797018	-7.97E-04	5.36E-04	R1 + R17 <=> R46
4.27647E-07	3.4607E-07	8.16E-08	5.53E-01	R17 + R1 <=> R111
4.27647E-07	0.027475393	-2.75E-02	1.56E-05	R1 + R18 <=> R47
4.27647E-07	0.003695679	-3.70E-03	1.16E-04	R18 + R1 <=> R112
4.27647E-07	2.92082E-05	-2.88E-05	1.44E-02	R1 + R19 <=> R48
4.27647E-07	0.231710619	-2.32E-01	1.85E-06	R19 + R1 <=> R113
4.27647E-07	0.313064284	-3.13E-01	1.37E-06	R1 + R20 <=> R49
4.27647E-07	3.159139269	-3.16E+00	1.35E-07	R20 + R1 <=> R114
4.27647E-07	0.000114761	-1.14E-04	3.71E-03	R1 + R21 <=> R51
4.27647E-07	3.31633E-05	-3.27E-05	1.27E-02	R21 + R1 <=> R115
4.27647E-07	0.00354903	-3.55E-03	1.20E-04	R1 + R22 <=> R52
4.27647E-07	7.39401E-07	-3.12E-07	3.66E-01	R22 + R1 <=> R116
4.27647E-07	1.67538E-05	-1.63E-05	2.49E-02	R1 + R26 <=> R117
4.27647E-07	4.34667E-05	-4.30E-05	9.74E-03	R1 + R26 <=> R118
4.27647E-07	0.003035065	-3.03E-03	1.41E-04	R26 + R1 <=> R119
4.27647E-07	0.001849919	-1.85E-03	2.31E-04	R1 + R27 <=> R54
4.27647E-07	3.22648E-06	-2.80E-06	1.17E-01	R27 + R1 <=> R120
4.27647E-07	1.65416E-06	-1.23E-06	2.05E-01	R1 + R28 <=> R121
4.27647E-07	0.001467033	-1.47E-03	2.91E-04	R1 + R28 <=> R122
4.27647E-07	1.984919748	-1.98E+00	2.15E-07	R28 + R1 <=> R123
4.27647E-07	0.741499862	-7.41E-01	5.77E-07	R29 + R1 <=> R124
4.27647E-07	0.003088599	-3.09E-03	1.38E-04	R1 + R30 <=> R57
4.27647E-07	6.23478E-05	-6.19E-05	6.81E-03	R30 + R1 <=> R125
4.27647E-07	0.005081299	-5.08E-03	8.42E-05	R31 + R1 <=> R126
4.27647E-07	3.93906E-05	-3.90E-05	1.07E-02	R32 + R1 <=> R127
4.27647E-07	13.21397501	-1.32E+01	3.24E-08	R33 + R1 <=> R128
4.27647E-07	2.689237567	-2.69E+00	1.59E-07	R34 + R1 <=> R129
4.27647E-07	0.000886805	-8.86E-04	4.82E-04	R1 + R41 <=> R130
4.27647E-07	1.22189E-05	-1.18E-05	3.38E-02	R1 + R41 <=> R131
4.27647E-07	0.012315269	-1.23E-02	3.47E-05	R41 + R1 <=> R132
4.27647E-07	0.002409097	-2.41E-03	1.77E-04	R42 + R1 <=> R133
4.27647E-07	3.74863E-06	-3.32E-06	1.02E-01	R1 + R43 <=> R134
4.27647E-07	0.007288529	-7.29E-03	5.87E-05	R1 + R43 <=> R135
4.27647E-07	0.035879316	-3.59E-02	1.19E-05	R43 + R1 <=> R136
4.27647E-07	6.687879772	-6.69E+00	6.39E-08	R44 + R1 <=> R137
4.27647E-07	0.001517844	-1.52E-03	2.82E-04	R45 + R1 <=> R138
4.27647E-07	0.004673114	-4.67E-03	9.15E-05	R46 + R1 <=> R139
4.27647E-07	2.70106E-05	-2.66E-05	1.56E-02	R1 + R53 <=> R140
4.27647E-07	0.007064019	-7.06E-03	6.05E-05	R1 + R53 <=> R141
4.27647E-07	0.100567697	-1.01E-01	4.25E-06	R53 + R1 <=> R142
4.27647E-07	35.3399579	-3.53E+01	1.21E-08	R54 + R1 <=> R143
4.27647E-07	4.79779E-07	-5.21E-08	4.71E-01	R1 + R55 <=> R144
4.27647E-07	7.59292E-06	-7.17E-06	5.33E-02	R1 + R55 <=> R145
4.27647E-07	1123.497356	-1.12E+03	3.81E-10	R55 + R1 <=> R146
4.27647E-07	115.7236391	-1.16E+02	3.70E-09	R56 + R1 <=> R147
4.27647E-07	0.546292904	-5.46E-01	7.83E-07	R57 + R1 <=> R148
4.27647E-07	0.103002885	-1.03E-01	4.15E-06	R1 + R60 <=> R149
4.27647E-07	7.586498602	-7.59E+00	5.64E-08	R1 + R60 <=> R150
4.27647E-07	5.666961851	-5.67E+00	7.55E-08	R60 + R1 <=> R151
4.27647E-07	1.07776E-09	4.27E-07	9.97E-01	R1 + R61 <=> R152
4.27647E-07	1.93223E-05	-1.89E-05	2.17E-02	R1 + R61 <=> R153
4.27647E-07	0.000150554	-1.50E-04	2.83E-03	R61 + R1 <=> R154
4.27647E-07	3291.315953	-3.29E+03	1.30E-10	R62 + R1 <=> R155
4.27647E-07	0.195438374	-1.95E-01	2.19E-06	R1 + R64 <=> R156
4.27647E-07	0.057844899	-5.78E-02	7.39E-06	R1 + R64 <=> R157
4.27647E-07	0.019582601	-1.96E-02	2.18E-05	R64 + R1 <=> R158
4.27647E-07	0.00067411	-6.74E-04	6.34E-04	R1 + R68 <=> R159
4.27647E-07	0.069342197	-6.93E-02	6.17E-06	R1 + R68 <=> R160
4.27647E-07	5.437080299	-5.44E+00	7.87E-08	R68 + R1 <=> R161
4.27647E-07	0.000648553	-6.48E-04	6.59E-04	R69 + R1 <=> R162
4.27647E-07	3.03635E-06	-2.61E-06	1.23E-01	R1 + R86 <=> R163
